"","dAIC","AIC","rho_R","rho_SSB","rho_Fbar"
"m3",0,-2460.5,0.0557,0.1925,0.1344
"m2",0.1,-2460.4,0.0221,0.1635,0.1848
"m1",19.6,-2440.9,0.0054,0.179,0.1822
"m4",21.6,-2438.9,0.0115,0.1831,0.1851
