"","dAIC","AIC","rho_R","rho_SSB","rho_Fbar"
"m3",0,-3060.3,1.0909,1.2315,-0.5351
"m4",38.8,-3021.5,0.7216,0.9133,-0.4501
"m1",56.9,-3003.4,0.969,1.1679,-0.5184
"m2",62.2,-2998.1,0.2514,0.2808,-0.1624
