"","dAIC","AIC","rho_R","rho_SSB","rho_Fbar"
"m4",0,-2573.2,-0.3246,-0.1754,-0.0853
"m2",9.3,-2563.9,-0.0074,0.1068,0.3428
"m3",34.6,-2538.6,-0.0112,0.1165,0.2933
"m1",35.4,-2537.8,-0.0136,0.1186,0.3457
"m5",150.3,-2422.9,-0.13,0.084,0.2172
