"","dAIC","AIC","rho_R","rho_SSB","rho_Fbar"
"m2",0,-2563.9,-0.0074,0.1068,0.3428
"m4",120.9,-2443,-0.0694,0.1789,-0.0552
"m3",134.2,-2429.7,-0.124,0.0887,0.285
"m1",148.9,-2415,-0.1178,0.0979,0.2782
"m5",173.7,-2390.2,0.5303,0.5566,-0.2744
