Estimate,Year,est,se,CV,lo,hi
SSB,1968,732525.2027344176,1.096523125623756,0.09234031542553786,611489.6824387664,877517.9501002183
SSB,1969,1093316.1863882488,1.0804920802570963,0.07753270785928236,939395.9344954216,1272456.3089157906
SSB,1970,1141273.4148004642,1.0774204394364504,0.07467348617700663,986088.4120046007,1320880.5533800707
SSB,1971,1161182.5284691597,1.076474688495879,0.07379168241187614,1005018.7242602274,1341611.6853091654
SSB,1972,1177425.6901102648,1.0811220387398837,0.07811821247544083,1010509.2076620234,1371913.5315343982
SSB,1973,813457.9533023118,1.0840391689334137,0.08082557479838476,694461.5761157931,952844.4258814591
SSB,1974,586468.9810125931,1.0883305609953235,0.08479676850888321,496815.52022795496,692300.9682389469
SSB,1975,392887.09383568144,1.08851961529946,0.0849714014086261,332713.19186930236,463943.93812699773
SSB,1976,263934.75630417024,1.0732842090687174,0.07081182981026377,229771.83913822784,303177.08143265644
SSB,1977,221027.16340377677,1.0798328439523348,0.07691966825660097,190137.61731336184,256934.9908377478
SSB,1978,207107.99883912093,1.0912125922125147,0.08745608698660419,174540.36287493096,245752.4579221904
SSB,1979,184520.65244286304,1.1004855576489143,0.0959713890353806,152947.06882461155,222612.11960186993
SSB,1980,178957.56422612202,1.108837594606508,0.1035885423484822,146153.93393431391,219123.83014021348
SSB,1981,156515.96305884488,1.1204235639801599,0.1140753233362133,125248.12631798536,195589.72586977488
SSB,1982,163234.668460608,1.1193481456122103,0.11310575573853897,130870.69359749438,203602.16833109807
SSB,1983,217402.72508345658,1.088411964733269,0.08487196586855766,184141.39395225327,256672.0271812879
SSB,1984,437136.6773205287,1.062415978186471,0.06060106812326967,388222.5790229249,492213.70673432184
SSB,1985,487689.758077673,1.06258169402178,0.06075746660030786,432986.56240874896,549304.114221752
SSB,1986,451808.5326419318,1.066164704050317,0.06413362124336405,398492.1778852503,512258.3616354874
SSB,1987,364023.9471942215,1.0709641262101157,0.06863993788291138,318252.7584221929,416377.95941761974
SSB,1988,296831.32819252025,1.0756939827211394,0.07306324491955273,257276.99096409176,342466.8372650279
SSB,1989,291277.0642657242,1.073137126251726,0.07067426645367329,253643.16378519288,334494.83479519567
SSB,1990,237886.4743676897,1.0702692710489015,0.06798864451304858,208240.12774072395,271753.45741983334
SSB,1991,231599.474960209,1.0716466950206154,0.06927934613275258,202226.21813861505,265239.18261220877
SSB,1992,177933.28768109338,1.0751524628893414,0.07255770329119673,154375.02134776607,205086.64282986923
SSB,1993,152127.7142160207,1.08128134993619,0.07826623392343787,130523.79307577574,177307.4539686083
SSB,1994,122903.09225747618,1.0867744881838883,0.08335838800980366,104407.28898610006,144675.43629507208
SSB,1995,115798.15000723762,1.0907119448927798,0.08699456707067292,97676.75956685106,137281.49464173504
SSB,1996,105606.12800697853,1.0926999539211184,0.08882612186157564,88762.32998863094,125646.25414919612
SSB,1997,104075.99799629647,1.094336434149685,0.09033164553058688,87220.04597803307,124189.49379656563
SSB,1998,89966.89404222937,1.1079670114976279,0.10279683984732273,73588.80396320712,109990.12876541085
SSB,1999,86215.64721913623,1.1213906863480925,0.11494659511626687,68875.42204302554,107921.48497864988
SSB,2000,151714.0510298078,1.087212909576368,0.0837638318548045,128780.61527624253,178731.50575109367
SSB,2001,247178.97351985317,1.0812413529275025,0.07822907315341178,212092.034177728,288070.4369082061
SSB,2002,243348.8496456331,1.0876982586286568,0.0842125067776883,206383.07708324678,286935.6512208919
SSB,2003,218349.48551012456,1.0967559981719128,0.09255402583280191,182195.6407589541,261677.48923044972
SSB,2004,179616.36246041788,1.0956688725423436,0.09155602018714927,150167.4657216869,214840.39507801982
SSB,2005,166435.24156645147,1.097338576035384,0.0930884945655289,138732.77584554756,199669.39655357637
SSB,2006,115479.91448373889,1.0990573949445799,0.09466395266487478,95963.9245078852,138964.8320195146
SSB,2007,96632.40107370203,1.100608074289957,0.09608348128726066,80080.02294097772,116606.122155474
SSB,2008,61287.35516037552,1.1211664709796494,0.11474465699244604,48980.05515648981,76687.13092611376
SSB,2009,44170.3018105383,1.1129638540346674,0.10733381744558673,35812.04845247049,54479.30644412642
SSB,2010,27398.459733197873,1.1033065425611073,0.0985496475133051,22596.602557575883,33220.7283744958
SSB,2011,17632.77943297549,1.1092348333037474,0.10394961401581576,14390.515048101437,21605.544311145626
SSB,2012,18612.348809825056,1.099868624138185,0.09540678511265008,15444.529341841991,22429.91809922519
SSB,2013,18068.241364179423,1.1097379749799468,0.10440678988673037,14732.804790466404,22158.804832973652
SSB,2014,15234.301784340885,1.1230085076376446,0.11640268577318659,12135.944961047382,19123.68188890847
SSB,2015,16632.096438310487,1.1211575705992325,0.11473664023189871,13292.361435329723,20810.947195433262
SSB,2016,24230.184799378054,1.1080357117679593,0.1028593345372546,19816.77441922481,29626.509490991997
SSB,2017,31153.471830072278,1.093805838382151,0.08984372346666457,26132.742568748556,37138.80410805976
SSB,2018,29899.65614125507,1.1065166027273048,0.10147667742516209,24519.421813113142,36460.46159568008
SSB,2019,23025.707478845667,1.1198105009407073,0.11352269731661767,18445.543782707442,28743.159385651292
SSB,2020,16520.624496239947,1.1710777233069973,0.15891425549473095,12122.743592595813,22513.965725750477
SSB,2021,11696.660489062813,1.385479457654937,0.3349064451767299,6173.49080585809,22161.184149910925
SSB,2022,17908.65849716555,1.5714599206421358,0.47610569242725026,7384.407236055822,43432.064201730514
Rect,1968,4957834.705307039,1.092370126718004,0.08852245198276136,4169544.257327229,5895158.666789966
Rect,1969,1451694.5563218286,1.1777460900187706,0.16470338520480957,1053456.3174046506,2000478.8523613133
Rect,1970,2723543.9479015353,1.1263703565120264,0.11942292849753162,2156954.9410784524,3438964.576813237
Rect,1971,908511.3216573062,1.1986735993854998,0.18271357957404782,636911.8592519045,1295929.428208456
Rect,1972,1189438.6060680437,1.15172341304458,0.14196705966795803,901782.4449557068,1568853.1147604904
Rect,1973,814828.1516532215,1.1630951921644328,0.15195102230679866,605985.8420993189,1095644.271863677
Rect,1974,1187883.3967681022,1.1260258996006758,0.1191138142531546,941327.7122872169,1499017.7659688205
Rect,1975,1042056.863988973,1.1015528646343127,0.09694752512842184,862109.5515651444,1259564.4089723083
Rect,1976,175511.21175911638,1.1564063570830863,0.14608778374501533,132011.1503593833,233345.33006714188
Rect,1977,36456.86468578703,1.2919795546293746,0.2604365533433498,22065.931555199193,60233.25955638712
Rect,1978,50238.975165703734,1.2430881539335403,0.22020010216142863,32795.96366035782,76959.30669514161
Rect,1979,131742.12854459597,1.1680797337378988,0.1563033699533991,97158.55066333682,178635.72804416277
Rect,1980,26887.3495101361,1.3738858341608915,0.3258264185454523,14426.789514934904,50110.21772597602
Rect,1981,186970.79432350578,1.1765618965001505,0.16367714810405332,135947.53851125788,257143.8829476696
Rect,1982,445664.14995278144,1.1241419029710922,0.11742174545961177,354323.61852115864,560551.2141191761
Rect,1983,2144979.786924197,1.0653974789987555,0.06341155565298892,1894529.3242271082,2428538.9661046127
Rect,1984,89589.07588145783,1.2887134678496273,0.2577792040867709,54494.48397590655,147284.6778555093
Rect,1985,189122.794276002,1.1840002760434425,0.17011049410354842,135824.14584775342,263336.3242707599
Rect,1986,92255.51052085821,1.2517487653415458,0.2274018274083724,59410.35836535223,143259.1799753861
Rect,1987,117443.18083273612,1.2121394470276912,0.19418093147631435,80550.40865670862,171233.1564063644
Rect,1988,404046.2013477519,1.1191167267300712,0.11289701368585256,324068.6575023964,503761.5611510991
Rect,1989,536660.447860901,1.0996216486887334,0.09518068254918792,445516.9611942744,646449.9926696935
Rect,1990,110146.97587319458,1.1859208749181922,0.1717666704808501,78854.42081908116,153857.6552587439
Rect,1991,185603.96951271233,1.1362759498224797,0.1282792792574802,144491.0616007413,238414.97956506888
Rect,1992,196631.5061264238,1.1297434581201045,0.12244584583895404,154815.5346353517,249742.0513555946
Rect,1993,37382.055503485404,1.2794184809981344,0.2501935828565193,23063.345096485533,60590.43333998443
Rect,1994,145233.2212939373,1.1486599195830034,0.13926421390034766,110686.04302196656,190563.2181938941
Rect,1995,170250.32995955125,1.1407531224865874,0.13226167937569647,131520.77408560453,220384.76471002327
Rect,1996,172401.19977871468,1.1430305564426806,0.13428261633527094,132662.7536201332,224043.09328786304
