Estimate,Year,est,se,CV,lo,hi
SSB,1968,732072.99746725,1.0965582459498049,0.09237254834616603,611073.834346776,877031.2906517786
SSB,1969,1092877.2974392732,1.08051430163687,0.07755336628925667,938980.9842509348,1271996.7787324025
SSB,1970,1140918.5379763,1.0774368161679875,0.07468874953269522,985752.422560766,1320509.1669127862
SSB,1971,1160890.5583679075,1.0764865427405894,0.07380273939074833,1004744.3344756751,1341303.2970333002
SSB,1972,1177217.9510285698,1.0811290082217284,0.0781246884607681,1010318.153118419,1371688.809061189
SSB,1973,813348.0166675467,1.0840416330182094,0.08082785898087093,694364.6280419116,952719.8960041234
SSB,1974,586407.8849504198,1.0883320250584825,0.08479812099240183,496762.45414208237,692230.6721547658
SSB,1975,392823.6598642348,1.0885290911141892,0.08498015369428226,332653.7975916577,463876.94614132325
SSB,1976,263832.05713327165,1.0733030364060914,0.07082943739226168,229674.5364626802,303069.53240541054
SSB,1977,220907.28660436705,1.0798526704116826,0.07693811018286721,190027.6553940172,256804.88018293143
SSB,1978,206969.88611220327,1.0912447074699179,0.08748568603695682,174413.90739714124,245602.74118370283
SSB,1979,184379.37332200783,1.1005308786821266,0.09601285515137918,152817.62898646298,222459.63068585345
SSB,1980,178806.48623450476,1.1088932077192297,0.10363909868353044,146016.19527264097,218960.3657308874
SSB,1981,156370.34628099806,1.1204931661495876,0.11413804811839802,125116.36594039993,195431.54896048515
SSB,1982,163092.87390625937,1.1194093439050417,0.11316095118950055,130743.0017112211,203447.10746166168
SSB,1983,217266.7086485163,1.0884470344598625,0.08490436029821312,184014.56615833196,256527.64165605637
SSB,1984,436973.89648861455,1.0624366485512051,0.06062057750915026,388063.21463368466,492049.179133579
SSB,1985,487533.27251328866,1.0625998145983577,0.06077456700422851,432833.1624082236,549146.2125615554
SSB,1986,451669.6370459899,1.0661816869706395,0.06414959921971104,398357.235974429,512116.87050251453
SSB,1987,363908.84797988407,1.0709810817767857,0.06865582573221247,318142.25929577916,416259.2229375148
SSB,1988,296728.2963451826,1.075713213899147,0.07308119422241882,257178.67701098084,342359.96107933595
SSB,1989,291180.8257488553,1.073156223150595,0.07069212831964661,253550.5160884557,334395.9799088163
SSB,1990,237797.16434691416,1.070290689130278,0.06800872552403256,208153.78348911615,271662.0876333484
SSB,1991,231512.93940734243,1.0716666489394735,0.06929803282103172,202143.28056427964,265149.75399335165
SSB,1992,177862.79931713344,1.0751725163128412,0.07257642842417521,154308.22455871166,205012.8920308472
SSB,1993,152062.46632112347,1.0813026888560113,0.07828605917694532,130462.76485439866,177238.26173290855
SSB,1994,122848.38970890408,1.0867936797138538,0.08337613897028531,104357.20670404579,144616.04838533574
SSB,1995,115744.92273963135,1.0907284394315049,0.08700977543567626,97628.96815415769,137222.45961720432
SSB,1996,105546.50654745028,1.09272219754209,0.08884659856536042,88708.67859182252,125580.32901865245
SSB,1997,104003.83621987724,1.0943655930524985,0.09035845336625117,87155.01976268007,124109.86742823067
SSB,1998,89888.30465820494,1.1080119748415158,0.10283774209839543,73518.6737298524,109902.7893786039
SSB,1999,86133.3472827975,1.1214431208798326,0.11499381511333225,68803.3691569637,107828.34627202433
SSB,2000,151613.35692267207,1.0872449105432558,0.08379342014493066,128687.7182840082,178623.18412259905
SSB,2001,247061.65328520982,1.081266036390116,0.07825200642372782,211981.88254570644,287946.59143033234
SSB,2002,243240.36018064394,1.0877220274587112,0.08423447508275923,206282.23250224532,286820.01403182116
SSB,2003,218254.75556571005,1.0967765207648015,0.09257285782976726,182109.91705387278,261573.55457449437
SSB,2004,179534.41641701557,1.09569565612429,0.091580618374172,150091.7639272698,214752.66753355868
SSB,2005,166343.5451879148,1.0974125386423539,0.09315633188169845,138638.02656859442,199585.7537108939
SSB,2006,115334.55787250983,1.0993134581389736,0.09489847732667232,95799.3822033128,138853.29877615147
SSB,2007,96354.48317768547,1.101437849885592,0.096842374013649285,79731.85059992933,116442.63062479452
SSB,2008,61070.47821407796,1.1222284831417146,0.11570085566730379,48716.244491546655,76557.69339821216
SSB,2009,44029.87457208427,1.113872792955157,0.10815726267563394,35641.12193738882,54393.0647929402
SSB,2010,27292.691809508357,1.1047029975432108,0.0998238663140666,22453.63636901276,33174.6276623948
SSB,2011,17563.14011408945,1.1105985109062901,0.10518830413683289,14299.205794959775,21572.09953407805
SSB,2012,18541.074132078887,1.1012894653956724,0.09670670106533243,15346.505133818735,22400.63304143976
SSB,2013,17979.48507851032,1.111825400293259,0.10630164835784327,14606.534481909492,22131.31965619511
SSB,2014,15147.624495092676,1.1254368448288332,0.11858501866641971,12015.918275871452,19095.546638751646
SSB,2015,16551.57631063173,1.1229144385849181,0.11631806814199272,13187.47679362953,20773.85102956198
SSB,2016,24137.614457903226,1.109301377445959,0.10401008889222962,19696.94382022394,29579.433085459998
SSB,2017,31055.269549029596,1.0947314117284905,0.09069472380588366,26007.21587411959,37083.16074396153
SSB,2018,29796.422421804742,1.1074891663337634,0.1023620668612772,24392.725348597356,36397.19532978223
SSB,2019,22913.202325677827,1.1213248786276035,0.11488732928583063,18306.862669684524,28678.580830065035
SSB,2020,16400.521064150536,1.1727652487838396,0.16038164018970924,12000.695200490174,22413.4591106571
SSB,2021,11569.152838460554,1.387949452710014,0.33683584150765733,6084.9124255678,21996.256977711626
SSB,2022,17702.215204566655,1.5745241859842984,0.47837583946187934,7271.4666685966,43095.6280803899
Rect,1968,4957848.868634208,1.0923680742509008,0.08852056203993743,4169571.523548284,5895153.798273212
Rect,1969,1451851.7046553602,1.177744374668783,0.164701899224674,1053573.3633464815,2000689.6962688996
