"","dAIC","AIC","rho_R","rho_SSB","rho_Fbar"
"m2.5",0,-2801.7,0.2587,0.3842,-0.2493
"m2.3",203.6,-2598.1,0.2853,0.4459,-0.28
"m2.2",205.4,-2596.3,0.2957,0.4413,-0.2771
"m2.4",528.1,-2273.6,0.4017,0.3796,-0.2579
"m2.6",536.6,-2265.1,0.4167,0.3706,-0.2533
"m2.1",9861.4,7059.7,0.2555,0.4219,-0.2731
"m2.7",9861.4,7059.7,0.2555,0.4219,-0.2731
