"","dAIC","AIC","rho_R","rho_SSB","rho_Fbar"
"m1",0,-2366.3,0.6501,0.6585,-0.2722
"m2",120.4,-2245.9,0.6782,0.6526,-0.3355
"m3",129.6,-2236.7,0.7809,0.7813,-0.3966
