"","dAIC","AIC","rho_R","rho_SSB","rho_Fbar"
"m4",0,-2534.2,0.5387,0.5123,-0.3341
"m3",33.8,-2500.4,0.5976,0.5621,-0.2797
"m1",167.9,-2366.3,0.6501,0.6585,-0.2722
"m2",169.9,-2364.3,0.6501,0.6585,-0.2722
