"","dAIC","AIC","rho_R","rho_SSB","rho_Fbar"
"m1",0,-2417.2,0.7459,0.772,-0.3412
"m2",124.7,-2292.5,0.753,0.7551,-0.3807
"m4",245.8,-2171.4,0.8414,0.7692,-0.3566
"m3",453,-1964.2,-0.0115,0.9228,-0.2552
