Estimate,Year,est,se,CV,lo,hi
SSB,1968,756235.3026893238,1.0960763805381561,0.09193022165173381,631786.5507569931,905197.8589103941
SSB,1969,1132272.227773037,1.0800715937368226,0.07714172561085492,973610.1065624008,1316790.3549324416
SSB,1970,1191247.2124404442,1.0766047568984567,0.07391299704511749,1030795.9770080787,1376673.9032742723
SSB,1971,1231835.8553508115,1.075113094421452,0.0725209415903963,1068818.1918580106,1419717.2036247023
SSB,1972,1286110.5194727993,1.078615058638077,0.075786348917755,1108820.3168714014,1491747.8000093591
SSB,1973,938792.0477259737,1.0802263260482783,0.07728561647107562,807015.145001935,1092086.7028727368
SSB,1974,715236.5960178605,1.083253592573848,0.08009712033853683,611476.6926208623,836603.249897546
SSB,1975,484198.63013825216,1.0822615938980609,0.0791765886283026,414699.57366502594,565344.9588958
SSB,1976,349947.9786399972,1.0744445952229793,0.07189652348076812,304007.23698851187,402831.1594399567
SSB,1977,329633.79291258944,1.0837619110963508,0.08056853034105081,281554.5654718649,385923.19484443916
SSB,1978,326847.7562040956,1.0922201161842535,0.0883843118921779,274953.3101738337,388536.714353834
SSB,1979,302392.51571945596,1.09841929467677,0.09407932146840631,251574.67851645558,363475.5059705273
SSB,1980,295155.4096252343,1.1033493698872703,0.09858874644440749,243407.91997354338,357904.1957242344
SSB,1981,263567.3351457303,1.110247813393588,0.10486987230139219,214718.8465086383,323528.8438130975
SSB,1982,258109.05860624881,1.1110390126671192,0.1055881578034402,209978.79947594614,317271.48788768833
SSB,1983,307751.7981819983,1.0858478924164578,0.08250101836487933,261875.3746594731,361665.0454721452
SSB,1984,553126.3467039234,1.0606637888174113,0.05894603584409375,492825.1829749915,620805.8475647221
SSB,1985,609840.3437864514,1.0597853739912366,0.05811539039970899,544239.3428644254,683348.6953592438
SSB,1986,571225.4528421019,1.0624037067230772,0.06058948573987234,507318.7643498766,643182.4346036408
SSB,1987,474088.95978783286,1.0662105861532896,0.06417678779903618,418108.10256861616,537565.1426315608
SSB,1988,400191.94441106165,1.0701436733599958,0.06787088026850893,350399.0416078592,457060.589083284
SSB,1989,387392.4909264504,1.0692233374899627,0.06700756594582818,339764.59671534237,441696.82031919394
SSB,1990,317313.7513755015,1.0689423703865444,0.06674387365828335,278445.0644602348,361608.19372818514
SSB,1991,314825.5964793354,1.0718108681907745,0.06943308374699476,274814.4299210212,360662.12471831974
SSB,1992,248024.4820745829,1.0756101069366857,0.07298495662536571,215006.77134463235,286112.58763456077
SSB,1993,218799.18906972886,1.080959521319826,0.07796719216833957,187836.69599246862,254865.45578660758
SSB,1994,183940.5715026404,1.0859932848256688,0.08263559086596217,156479.56414554326,216220.7827550471
SSB,1995,177186.15685753085,1.0891399374044812,0.08554421838564996,149881.18035938957,209465.48530417104
SSB,1996,167905.3402575033,1.0920131610836648,0.08819370627266962,141299.05447793115,199521.52823068725
SSB,1997,168811.21001319194,1.0943400758357846,0.0903349936231906,141469.94264377738,201436.60267025253
SSB,1998,156228.99714528298,1.1032234120344586,0.09847375034148517,128867.31533051147,189400.23299485896
SSB,1999,156920.82143111902,1.107538391940483,0.1024068626903126,128451.4298001481,191700.0397498787
SSB,2000,226998.45320865963,1.0856844962008103,0.08234976302666686,193216.87648275748,266686.3200416262
SSB,2001,325523.6088640255,1.0774353035015296,0.07468733971385082,281252.8312383075,376762.85590196826
SSB,2002,318153.4795009006,1.0807920719932684,0.07781156787855296,273214.2065036719,370484.5286556122
SSB,2003,293751.88026682584,1.0864264779599584,0.08303645278631172,249701.57537616565,345573.1788247745
SSB,2004,238630.2321810939,1.0867439539311523,0.08333014517727921,202729.70521423663,280888.2282476869
SSB,2005,207381.04887702706,1.0898259243389328,0.08617734035038724,175206.58650434244,245463.94226035543
SSB,2006,145543.28096101727,1.0895694529718023,0.08594067437950788,123019.4728252886,172191.00477679123
SSB,2007,128939.00298377633,1.0904489453509074,0.08675204807870274,108812.60360832926,152788.05891174974
SSB,2008,94849.66353594976,1.1008080441315713,0.0962664136473637,78574.67107575071,114495.65807548529
SSB,2009,71051.06268786328,1.094054096855241,0.09007204098629566,59573.88768128662,84739.36661784184
SSB,2010,49661.88078092741,1.0859798075655782,0.08262311722948212,42248.74597983646,58375.75401352998
SSB,2011,36499.10348490815,1.0917004725764086,0.08790566071104863,30732.699732987166,43347.46269531681
SSB,2012,34552.728179493686,1.088562033801404,0.0850105805139205,29258.45786443668,40804.98808849177
SSB,2013,36289.81725128742,1.092453096978794,0.08859884967758976,30515.231983647172,43157.16285026376
SSB,2014,36211.011156273205,1.0991871603800663,0.09478280885367664,30084.424205439693,43585.25594525595
SSB,2015,36707.760013750805,1.0968285756188174,0.09262062318362511,30625.794668048915,43997.540629791125
SSB,2016,42960.200509526636,1.0911182543309146,0.08736913603055174,36210.86450957882,50967.54393506743
SSB,2017,42920.2229920713,1.0850700055000702,0.08178075224771232,36573.459305505545,50368.37030649218
SSB,2018,38486.66944269271,1.0903242796095325,0.08663707264577729,32486.471506517944,45595.09408382227
SSB,2019,27165.262264008365,1.1050072697879625,0.10010132270253261,22336.740512008746,33037.56308919008
SSB,2020,17908.111496424706,1.1315389560443325,0.12405193181044438,14055.926663080729,22816.030921015685
SSB,2021,9750.155159628284,1.2694621088741271,0.24202947617611584,6108.302881793382,15563.328714458748
SSB,2022,5811.67776943584,1.571645344986433,0.47624310454223034,2395.817205150239,14097.736013894548
Rect,1968,5112829.654155388,1.0921938334730186,0.08836010725628696,4301255.602050439,6077533.978671038
Rect,1969,1515969.2761412202,1.177150361852338,0.16418721714995202,1101190.2243888509,2086980.7916062751
Rect,1970,2917980.75576264,1.1245819170553317,0.11781714303398998,2318150.947662902,3673018.6615264677
Rect,1971,1012646.5154060508,1.1964153187984703,0.1807813341395719,712544.5555300057,1439142.2363774339
Rect,1972,1471757.1647007936,1.1446895455426307,0.13575273421868905,1129302.6523854851,1918059.0316268338
Rect,1973,908150.8308087663,1.154907918776109,0.14477067070601773,684805.7737511363,1204338.4607886916
Rect,1974,1087305.249312871,1.1205766732716766,0.11421329964082931,869856.8207446354,1359111.8411548254
Rect,1975,1206056.5787067942,1.0962960941105082,0.09213192775796919,1007187.9032065816,1444191.760456037
Rect,1976,227893.1082773681,1.1563651663971481,0.14605159538943277,171422.27825741115,302966.8566318619
Rect,1977,47543.50989610248,1.2918052725702567,0.26029485920322,28783.859203177453,78529.61332548728
Rect,1978,64820.70141042377,1.2409661439546305,0.21843040756619336,42456.836740255465,98964.5874242781
Rect,1979,156388.30111391394,1.165919319616162,0.15441872324318812,115754.1060621201,211286.67964634503
Rect,1980,33900.586990265474,1.3651498715984098,0.3189578700644644,18418.685605301293,62395.86379354769
Rect,1981,170242.10171886726,1.1846164724720136,0.1706420725989643,122139.79820848131,237288.5302150813
Rect,1982,528901.4077793001,1.1207144514236904,0.11433744673741614,423025.31760574627,661276.4945941989
Rect,1983,2414733.1720686094,1.0643367862988733,0.062412520631980536,2136953.838495262,2728620.612785154
Rect,1984,97411.84916506414,1.2879782884764488,0.2571804729077097,59319.161489027516,159966.32655558415
Rect,1985,202795.27472984587,1.1826134412307543,0.16891334681005862,145978.3820391465,281726.1218974538
Rect,1986,100207.7056482351,1.248791168179878,0.22494619698234178,64831.27299986726,154887.97005889253
Rect,1987,133463.350362909,1.205928315706403,0.1889030668878459,92464.45750952589,192641.21987908188
Rect,1988,414494.7438136196,1.1160440308097699,0.11012200041324359,334245.3238564363,514011.3574869683
Rect,1989,541473.256012257,1.0991578089575258,0.09475592602902201,449884.2534915215,651708.2665175803
Rect,1990,121395.44718572458,1.1849226567128848,0.17090613395356838,87050.77584236124,169290.33032524333
Rect,1991,208677.37647473117,1.136019061772232,0.12805039618164837,162525.51475963753,267934.8379039326
Rect,1992,222749.3967170652,1.1297993497954821,0.12249587276191833,175362.14831027275,282941.8675347621
Rect,1993,45214.49835691085,1.2771096767149062,0.248304001613773,27994.600829857318,73026.61231328276
Rect,1994,169091.60785978657,1.1468671386623115,0.13767983846594178,129264.27165973478,221190.05879576007
Rect,1995,202492.03602252624,1.1387636159272863,0.13049359035743693,156964.0360957121,261225.60092393146
Rect,1996,208057.48228278625,1.1412229294863157,0.13267883871002709,160597.67242812994,269542.6109193703
Rect,1997,269893.4903173325,1.1315328318224858,0.12404645718319884,211839.38630227352,343857.19004931935
Rect,1998,143258.45041636474,1.1828096187948507,0.1690827554926363,103088.39401878655,199081.41756440574
Rect,1999,227040.88938481844,1.1591449865799164,0.1484915694595054,169979.4334569938,303257.6612610685
Rect,2000,1203194.115190077,1.0831856694095954,0.08003411426891335,1028772.280266326,1407188.069310403
Rect,2001,208349.72216645005,1.1889367945029952,0.17436334345961402,148417.2731688681,292483.52162787545
Rect,2002,173976.30332393598,1.2101395851327428,0.1924836792283222,119711.41542138818,252839.33041572242
Rect,2003,354869.3176234804,1.1477967626867853,0.13850164156129072,270853.9766832434,464945.11224337335
Rect,2004,670862.6624806692,1.1111864534684128,0.10572196341234429,545623.254270562,824848.8465036711
Rect,2005,189312.4919344492,1.180664606337442,0.1672292899078712,136714.26850170444,262146.88485118933
Rect,2006,388173.7142155202,1.1192353744857066,0.11300403958137877,311273.3116626915,484072.4429698428
Rect,2007,147121.5369765602,1.1648308928274127,0.15346821113280934,109094.63526739452,198403.4007657057
Rect,2008,215846.92076548352,1.127519454547675,0.12045356326551009,170602.19256588595,273090.8231788878
Rect,2009,165818.6420534675,1.1166371680551699,0.11065817027899029,133575.68311963635,205844.51758206246
Rect,2010,39998.174485315,1.1780281781603925,0.16494773140816577,29011.99559581373,55144.56793825495
Rect,2011,115054.95835404599,1.1065130660137217,0.10147345651539166,94352.21312041213,140300.29613568683
Rect,2012,91014.17811109235,1.1177063459916785,0.11162405991099884,73179.33647497023,113195.62346771073
Rect,2013,50705.036582513545,1.1512907457065416,0.14158567242954584,38470.75212315491,66830.00962922673
Rect,2014,92188.31331542967,1.1209516728055788,0.11455116901892197,73703.37099940289,115309.31349140978
Rect,2015,121388.43902807456,1.113335586083825,0.10767065299447813,98353.96394478974,149817.5827254308
Rect,2016,232607.4385638309,1.0927538613621193,0.08887574655334775,195488.4849218322,276774.46319593303
Rect,2017,20916.388338882767,1.2455254270474443,0.22223020523985668,13601.883118447817,32164.31852363071
Rect,2018,60141.70494779247,1.1466961190198337,0.13752859663723793,45989.54630033743,78648.84446578649
Rect,2019,45056.97320960487,1.166229679880328,0.15468963247011247,33332.47814966728,60905.487605676724
Rect,2020,39247.979036671655,1.2177929608571452,0.19896824457240922,26674.50693447327,57748.16615156434
Rect,2021,9925.960626087308,1.376315046128129,0.3277322540011917,5307.506601793823,18563.273066365342
Rect,2022,16437.18266131725,1.5272848432780879,0.44320824712432616,7167.2197989065435,37696.761285698
F,1968,0.15439505081851915,1.1907796865040021,0.1759476501577332,0.10964946771028157,0.21740034142471168
F,1969,0.14542269251696355,1.1776030977415601,0.16457950768251306,0.10555451562569991,0.2003491690859919
F,1970,0.2083159481533664,1.1690051531964871,0.15710984499237815,0.1533927268592248,0.28290477093390487
F,1971,0.32271489334982084,1.1593424528444678,0.1486647208842425,0.24152734783351146,0.4311930028792223
F,1972,0.3363960938641017,1.1601993839676739,0.1494158687216177,0.2514023381978347,0.4501244211896521
F,1973,0.46434118743929836,1.1514909165983913,0.14176213294553783,0.3521833350595747,0.6122173223104522
F,1974,0.5324710918745116,1.1520093434627916,0.142219039383675,0.4035008790049328,0.7026638067833513
F,1975,0.6471191406106518,1.1447733965448,0.13582699385965055,0.4964735145208203,0.8434753715892476
F,1976,0.7136745369990007,1.1320033252792816,0.12446697523949049,0.5597068785264827,0.9099965791051806
F,1977,0.24824190633071105,1.1655368591707322,0.15408480236144007,0.18385968408359635,0.3351688781902107
F,1978,0.08703333459818861,1.1826966184204002,0.16898517684915398,0.0626406812190015,0.12092463210605228
F,1979,0.11118073587255639,1.1858509264814086,0.17170638744020356,0.07960369367963246,0.1552836992578636
F,1980,0.09075143341704432,1.1906461289043282,0.175832893639617,0.06446472321886239,0.12775704689349268
F,1981,0.11594896212641946,1.1921702140817056,0.17714186739845025,0.08215738578047424,0.16363911400633974
F,1982,0.11543892534388389,1.1963602181707427,0.18073415527759806,0.08123545762757481,0.16404345926928504
F,1983,0.10944148827553259,1.179537659533213,0.16625450273269596,0.07918253890780401,0.15126364374233361
F,1984,0.08736172885474955,1.1703116746012279,0.15824760673606691,0.06418782598225671,0.1189021679999023
F,1985,0.12568976197166343,1.1633116123571878,0.15214029224847775,0.09344110933737926,0.1690681582926559
F,1986,0.12970627168748775,1.1638260055001046,0.15259004472764687,0.09634357485658457,0.17462209535105883
F,1987,0.1819994442339327,1.1630141781156451,0.15188016458867665,0.13537105261075874,0.24468892767424513
F,1988,0.22444189003103746,1.1652167352760896,0.15380524173995863,0.16632179004548,0.30287169219937876
F,1989,0.22733476544489695,1.168886173812723,0.1570061854824101,0.1674305648212709,0.3086718105207072
F,1990,0.3176439361798129,1.159911960798886,0.149163974427265,0.23750340307027862,0.42482620832994494
F,1991,0.2481629614537429,1.1611594950218136,0.1502569473974631,0.18516172568799483,0.3326003536025847
F,1992,0.18285133219133054,1.1698673081115751,0.15786074691871393,0.13444753289772934,0.24868146676649794
F,1993,0.17789488936749454,1.1720816433621652,0.15978740641492056,0.13031924081032256,0.2428389811534753
F,1994,0.21279151276580371,1.1716572175412794,0.15941833530395425,0.1559939152557303,0.2902691930703103
F,1995,0.17354808901657442,1.179960182713261,0.16662005914343567,0.12547650499595348,0.24003648493617324
F,1996,0.27807985430363286,1.179013696149424,0.1658010458829812,0.2013701792725877,0.38401120587399856
F,1997,0.2847115374786322,1.1820053934719381,0.16838813481597778,0.20515095542071785,0.39512689281514507
